month,sessions,engaged_sessions,key_events,property
2025-04,3200,1952,99,000000000
2025-05,3347,2042,104,000000000
2025-06,3493,2131,108,000000000
2025-07,3640,2220,113,000000000
2025-08,3787,2310,117,000000000
2025-09,3933,2399,122,000000000
2025-10,4080,2489,126,000000000
2025-11,4227,2578,131,000000000
2025-12,4373,2668,136,000000000
2026-01,4520,2757,140,000000000
2026-02,4667,2847,145,000000000
2026-03,4813,2936,149,000000000
2026-04,4960,3026,154,000000000
2026-05,5107,3115,158,000000000
2026-06,5253,3204,163,000000000
2026-07,5400,3294,167,000000000
