month,brand,clicks,impressions,position,site
2025-04,Nordvik,884,2600,1.2,sc-domain:nordvik.example
2025-04,Brantevik,8,172,8.4,sc-domain:nordvik.example
2025-04,Fjellvik,3,76,9.1,sc-domain:nordvik.example
2025-04,Sundby,1,30,11.0,sc-domain:nordvik.example
2025-04,-site-total-,958,7980,,sc-domain:nordvik.example
2025-05,Nordvik,938,2760,1.2,sc-domain:nordvik.example
2025-05,Brantevik,9,178,8.4,sc-domain:nordvik.example
2025-05,Fjellvik,3,79,9.1,sc-domain:nordvik.example
2025-05,Sundby,1,30,11.0,sc-domain:nordvik.example
2025-05,-site-total-,988,8230,,sc-domain:nordvik.example
2025-06,Nordvik,993,2920,1.2,sc-domain:nordvik.example
2025-06,Brantevik,10,184,8.4,sc-domain:nordvik.example
2025-06,Fjellvik,3,82,9.1,sc-domain:nordvik.example
2025-06,Sundby,1,30,11.0,sc-domain:nordvik.example
2025-06,-site-total-,1018,8480,,sc-domain:nordvik.example
2025-07,Nordvik,1047,3080,1.2,sc-domain:nordvik.example
2025-07,Brantevik,11,190,8.4,sc-domain:nordvik.example
2025-07,Fjellvik,3,85,9.1,sc-domain:nordvik.example
2025-07,Sundby,1,30,11.0,sc-domain:nordvik.example
2025-07,-site-total-,1048,8730,,sc-domain:nordvik.example
2025-08,Nordvik,1102,3240,1.2,sc-domain:nordvik.example
2025-08,Brantevik,12,196,8.4,sc-domain:nordvik.example
2025-08,Fjellvik,3,88,9.1,sc-domain:nordvik.example
2025-08,Sundby,1,30,11.0,sc-domain:nordvik.example
2025-08,-site-total-,1078,8980,,sc-domain:nordvik.example
2025-09,Nordvik,1156,3400,1.2,sc-domain:nordvik.example
2025-09,Brantevik,13,202,8.4,sc-domain:nordvik.example
2025-09,Fjellvik,3,91,9.1,sc-domain:nordvik.example
2025-09,Sundby,1,30,11.0,sc-domain:nordvik.example
2025-09,-site-total-,1108,9230,,sc-domain:nordvik.example
2025-10,Nordvik,1210,3560,1.2,sc-domain:nordvik.example
2025-10,Brantevik,14,208,8.4,sc-domain:nordvik.example
2025-10,Fjellvik,3,94,9.1,sc-domain:nordvik.example
2025-10,Sundby,1,30,11.0,sc-domain:nordvik.example
2025-10,-site-total-,1138,9480,,sc-domain:nordvik.example
2025-11,Nordvik,1265,3720,1.2,sc-domain:nordvik.example
2025-11,Brantevik,15,214,8.4,sc-domain:nordvik.example
2025-11,Fjellvik,3,97,9.1,sc-domain:nordvik.example
2025-11,Sundby,1,30,11.0,sc-domain:nordvik.example
2025-11,-site-total-,1168,9730,,sc-domain:nordvik.example
2025-12,Nordvik,1319,3880,1.2,sc-domain:nordvik.example
2025-12,Brantevik,16,220,8.4,sc-domain:nordvik.example
2025-12,Fjellvik,3,100,9.1,sc-domain:nordvik.example
2025-12,Sundby,1,30,11.0,sc-domain:nordvik.example
2025-12,-site-total-,1198,9980,,sc-domain:nordvik.example
2026-01,Nordvik,1374,4040,1.2,sc-domain:nordvik.example
2026-01,Brantevik,17,226,8.4,sc-domain:nordvik.example
2026-01,Fjellvik,3,103,9.1,sc-domain:nordvik.example
2026-01,Sundby,1,30,11.0,sc-domain:nordvik.example
2026-01,-site-total-,1228,10230,,sc-domain:nordvik.example
2026-02,Nordvik,1428,4200,1.2,sc-domain:nordvik.example
2026-02,Brantevik,18,232,8.4,sc-domain:nordvik.example
2026-02,Fjellvik,3,106,9.1,sc-domain:nordvik.example
2026-02,Sundby,1,30,11.0,sc-domain:nordvik.example
2026-02,-site-total-,1258,10480,,sc-domain:nordvik.example
2026-03,Nordvik,1482,4360,1.2,sc-domain:nordvik.example
2026-03,Brantevik,19,238,8.4,sc-domain:nordvik.example
2026-03,Fjellvik,3,109,9.1,sc-domain:nordvik.example
2026-03,Sundby,1,30,11.0,sc-domain:nordvik.example
2026-03,-site-total-,1288,10730,,sc-domain:nordvik.example
2026-04,Nordvik,1537,4520,1.2,sc-domain:nordvik.example
2026-04,Brantevik,20,244,8.4,sc-domain:nordvik.example
2026-04,Fjellvik,3,112,9.1,sc-domain:nordvik.example
2026-04,Sundby,1,30,11.0,sc-domain:nordvik.example
2026-04,-site-total-,1318,10980,,sc-domain:nordvik.example
2026-05,Nordvik,1591,4680,1.2,sc-domain:nordvik.example
2026-05,Brantevik,21,250,8.4,sc-domain:nordvik.example
2026-05,Fjellvik,3,115,9.1,sc-domain:nordvik.example
2026-05,Sundby,1,30,11.0,sc-domain:nordvik.example
2026-05,-site-total-,1348,11230,,sc-domain:nordvik.example
2026-06,Nordvik,1646,4840,1.2,sc-domain:nordvik.example
2026-06,Brantevik,22,256,8.4,sc-domain:nordvik.example
2026-06,Fjellvik,3,118,9.1,sc-domain:nordvik.example
2026-06,Sundby,1,30,11.0,sc-domain:nordvik.example
2026-06,-site-total-,1378,11480,,sc-domain:nordvik.example
2026-07,Nordvik,1700,5000,1.2,sc-domain:nordvik.example
2026-07,Brantevik,23,262,8.4,sc-domain:nordvik.example
2026-07,Fjellvik,3,121,9.1,sc-domain:nordvik.example
2026-07,Sundby,1,30,11.0,sc-domain:nordvik.example
2026-07,-site-total-,1408,11730,,sc-domain:nordvik.example
